Prov/Terr,FSA,Total,Total Income,Income per capita,Net Income,Taxable Income
13,E8K,7450,278541000,37388.05369,256354000,245078000
13,E8L,2090,65471000,31325.83732,61576000,57612000
13,E8M,1810,56445000,31185.08287,53473000,50447000
13,E8N,2190,69170000,31584.47489,65556000,61372000
13,E8P,3080,103507000,33606.16883,97631000,91011000
13,E8R,2920,81334000,27854.10959,77535000,71206000
13,E8S,4150,152339000,36708.19277,142549000,135018000
13,E8T,5270,186933000,35471.1575,176330000,166066000
13,E9A,2020,72473000,35877.72277,68875000,66035000
13,E9B,1980,63981000,32313.63636,60089000,57057000
13,E9C,1870,58764000,31424.59893,55345000,51991000
13,E9E,3210,106242000,33097.19626,99352000,95217000
13,E9G,4400,115262000,26195.90909,109774000,102219000
13,E9H,2720,79110000,29084.55882,75694000,70589000
24,G0A,70410,3052126000,43347.90513,2741472000,2650398000
24,G0C,41310,1378584000,33371.67756,1280527000,1191449000
24,G0E,4280,129889000,30347.8972,121633000,111521000
24,G0G,14100,601842000,42683.82979,558282000,510217000
24,G0H,8590,283616000,33016.99651,261108000,246350000
24,G0J,24750,759700000,30694.94949,709889000,656310000
24,G0K,9690,338053000,34886.79051,312439000,295187000
24,G0L,50150,1738741000,34670.80758,1607334000,1512191000
24,G0M,27720,959893000,34628.1746,891265000,841481000
24,G0N,16160,562999000,34839.04703,519317000,487817000
24,G0P,5510,186778000,33898.00363,173410000,162402000
24,G0R,69990,2538050000,36263.03758,2332075000,2208487000
24,G0S,55260,2111824000,38216.14187,1943887000,1858681000
24,G0T,12230,434126000,35496.81112,400246000,378196000
24,G0V,14460,569176000,39362.10235,515588000,494997000
24,G0W,28100,899170000,31998.93238,824892000,775253000
24,G0X,48830,1749450000,35827.36023,1591655000,1510599000
24,G0Y,7650,255927000,33454.5098,238005000,222943000
24,G0Z,7230,238818000,33031.53527,223038000,208033000
24,G1B,13220,601318000,45485.47655,537569000,527007000
24,G1C,30280,1369453000,45226.321,1220750000,1188623000
24,G1E,22250,835680000,37558.65169,760042000,722339000
24,G1G,20200,885225000,43823.0198,791635000,774548000
24,G1H,24630,953006000,38692.89484,865557000,836451000
24,G1J,18520,579188000,31273.65011,535253000,496552000
24,G1K,14700,520889000,35434.62585,480131000,448601000
24,G1L,18030,581479000,32250.63783,536765000,503252000
24,G1M,15940,559606000,35107.02635,514804000,489881000
24,G1N,6660,202603000,30420.87087,188582000,175114000
24,G1P,13580,513814000,37836.08247,468502000,455877000
24,G1R,13540,657715000,48575.70162,598948000,575646000
24,G1S,20820,1191465000,57226.94524,1072390000,1043362000
24,G1T,5490,511352000,93142.4408,459696000,450069000
24,G1V,15860,734868000,46334.67844,663416000,643025000
24,G1W,17370,952486000,54835.11802,850875000,835423000
24,G1X,21100,1064375000,50444.3128,951994000,933917000
24,G1Y,10510,687677000,65430.73264,609713000,598627000
24,G2A,12460,589284000,47294.061,522655000,511360000
24,G2B,19750,866511000,43873.97468,775190000,755560000
24,G2C,9710,483649000,49809.37178,430456000,423270000
24,G2E,17390,815630000,46902.24267,725937000,711610000
24,G2G,8920,437122000,49004.70852,388027000,379221000
24,G2J,2560,132993000,51950.39063,120292000,118261000
24,G2K,9410,532238000,56560.89267,474194000,467075000
24,G2L,11540,566283000,49071.31716,502669000,494233000
24,G2M,4100,201114000,49052.19512,179160000,176326000
24,G2N,6300,279863000,44422.69841,252419000,247746000
24,G3A,15770,991920000,62899.17565,878807000,860431000
24,G3B,6180,437835000,70847.08738,389855000,379869000
24,G3C,7020,357365000,50906.69516,320724000,314058000
24,G3E,11950,564482000,47236.98745,506309000,496778000
24,G3G,7950,334060000,42020.12579,302076000,295516000
24,G3H,7400,311050000,42033.78378,281945000,273935000
24,G3J,8000,354749000,44343.625,319301000,313123000
24,G3K,13910,642467000,46187.41912,576703000,565678000
24,G3L,8710,326403000,37474.51206,299601000,287165000
24,G3M,5660,218232000,38556.89046,196558000,188692000
24,G3N,7670,382475000,49866.36245,342908000,335547000
24,G3Z,6180,229698000,37167.96117,208179000,197714000
24,G4A,2570,95519000,37166.92607,86338000,82415000
24,G4R,15810,697018000,44087.16003,638053000,618924000
24,G4S,4060,175645000,43262.31527,162208000,158459000
24,G4T,11100,410937000,37021.35135,382580000,343670000
24,G4V,5690,176732000,31060.10545,165157000,148574000
24,G4W,12110,440217000,36351.52766,406211000,383407000
24,G4X,12480,478199000,38317.22756,442897000,416613000
24,G4Z,7930,383939000,48416.01513,344423000,337988000
24,G5A,7190,257042000,35749.93046,234692000,223714000
24,G5B,4860,246369000,50693.20988,222602000,216105000
24,G5C,9590,421146000,43915.11992,381855000,368855000
24,G5H,5640,183893000,32605.14184,170659000,158099000
24,G5J,5130,184549000,35974.46394,169427000,159956000
24,G5L,24590,927641000,37724.31883,849700000,800870000
24,G5M,6870,320147000,46600.7278,288086000,282359000
24,G5N,6670,326175000,48901.7991,292959000,285497000
24,G5R,16550,648663000,39194.13897,591425000,564838000
24,G5T,2470,80291000,32506.47773,75069000,69147000
24,G5V,9710,340868000,35104.84037,316454000,300278000
24,G5X,5060,187534000,37062.05534,171966000,163359000
24,G5Y,19480,722329000,37080.54415,666090000,630505000
24,G5Z,5310,235050000,44265.53672,213729000,204693000
24,G6A,1690,82294000,48694.67456,74896000,72935000
24,G6B,6910,251716000,36427.78582,232886000,220000000
24,G6C,5720,257021000,44933.74126,231287000,227075000
24,G6E,11000,459348000,41758.90909,417436000,403464000
24,G6G,16760,595008000,35501.67064,543593000,514130000
24,G6H,6000,203860000,33976.66667,186264000,177061000
24,G6J,8200,378243000,46127.19512,339071000,332888000
24,G6K,6370,339754000,53336.57771,300977000,296465000
24,G6L,12470,427632000,34292.86287,395351000,374588000
24,G6P,24710,838573000,33936.58438,771348000,727204000
24,G6R,3550,151182000,42586.47887,137595000,133322000
24,G6S,4010,162623000,40554.36409,148122000,144506000
24,G6T,8160,355177000,43526.59314,321088000,312393000
24,G6V,27020,1135227000,42014.32272,1022400000,982736000
24,G6W,19520,897577000,45982.42828,807762000,789734000
24,G6X,7960,334039000,41964.69849,302028000,294835000
24,G6Y,4330,235053000,54284.75751,208820000,205745000
24,G6Z,18440,940144000,50983.94794,838160000,823907000
24,G7A,18150,1014043000,55870.13774,901104000,883164000
24,G7B,14750,572023000,38781.22034,514915000,496141000
24,G7G,13540,553534000,40881.38848,499475000,484248000
24,G7H,23830,1046239000,43904.28032,943514000,901845000
24,G7J,12290,496740000,40418.2262,450015000,433022000
24,G7K,540,22890000,42388.88889,20726000,20255000
24,G7N,5050,246280000,48768.31683,220856000,215646000
24,G7P,5750,240103000,41757.04348,216751000,209574000
24,G7S,16170,751198000,46456.27706,670643000,654808000
24,G7T,750,38791000,51721.33333,34406000,34087000
24,G7X,21640,774997000,35813.17006,704066000,667595000
24,G7Y,540,22174000,41062.96296,20268000,19451000
24,G7Z,2270,105656000,46544.49339,93491000,91758000
24,G8A,5060,197053000,38943.28063,177680000,169649000
24,G8B,18740,701790000,37448.77268,637052000,609006000
24,G8C,3370,168446000,49983.97626,149610000,147095000
24,G8E,3120,125302000,40160.89744,114253000,110047000
24,G8G,3250,121894000,37505.84615,111612000,107476000
24,G8H,8490,310446000,36566.07774,284376000,269689000
24,G8J,3420,122239000,35742.39766,111792000,106800000
24,G8K,8600,331099000,38499.88372,298196000,286088000
24,G8L,12270,445636000,36319.1524,405394000,379244000
24,G8M,4350,156086000,35881.83908,142625000,135019000
24,G8N,2060,75390000,36597.08738,69264000,65798000
24,G8P,5980,280255000,46865.38462,253188000,229753000
